1993.011526	0.54
1993.038692	0.01
1993.065858	0.54
1993.093025	0.78
1993.120191	1.9
1993.147357	3.12
1993.174523	4.15
1993.201689	4.89
1993.228855	5.35
1993.256021	5.57
1993.283188	5.66
1993.310354	5.62
1993.33752	5.5
1993.364686	5.56
1993.391852	5.45
1993.419018	5.86
1993.446185	6.04
1993.473351	6.2
1993.500517	6.06
1993.527683	5.71
1993.554849	5.37
1993.582015	5.17
1993.609181	5.06
1993.636348	4.87
1993.663514	4.7
1993.69068	4.49
1993.717846	4.32
1993.745012	4.48
1993.772178	4.58
1993.799345	4.49
1993.826511	4.17
1993.853677	3.92
1993.880843	4.13
1993.908009	4.84
1993.935175	5.85
1993.962341	6.87
1993.989508	7.34
1994.016674	7.91
1994.04384	8.15
1994.071006	7.85
1994.098172	7.34
1994.125338	6.95
1994.152505	7.06
1994.179671	7.82
1994.206837	8.92
1994.234003	9.78
1994.261169	10.04
1994.288335	9.62
1994.315501	9.38
1994.342668	8.87
1994.369834	8.65
1994.397	8.21
1994.424166	8.1
1994.451332	8.01
1994.478498	7.9
1994.505664	7.83
1994.532831	7.82
1994.559997	7.8
1994.587163	7.77
1994.614329	7.77
1994.641495	7.78
1994.668661	7.85
1994.695828	8.08
1994.722994	8.15
1994.75016	8.28
1994.777326	8.5
1994.804492	8.7
1994.831658	8.68
1994.858824	8.47
1994.885991	8.49
1994.913157	9.14
1994.940323	10.34
1994.967489	11.71
1994.994655	12.56
1995.021821	13.08
1995.048988	13.35
1995.076154	12.84
1995.10332	12.22
1995.130486	11.89
1995.157652	12.19
1995.184818	12.45
1995.211984	12.71
1995.239151	12.62
1995.266317	12.37
1995.293483	12.15
1995.320649	12.13
1995.347815	12.09
1995.374981	12.04
1995.402148	12.07
1995.429314	11.95
1995.45648	11.58
1995.483646	11.01
1995.510812	10.69
1995.537978	10.07
1995.565144	9.9
1995.592311	9.89
1995.619477	10.3
1995.646643	10.61
1995.673809	11.05
1995.700975	11.79
1995.728141	11.61
1995.755307	11.91
1995.782474	11.5
1995.80964	11.1
1995.836806	10.99
1995.863972	11.24
1995.891138	11.73
1995.918304	12.21
1995.945471	12.26
1995.972637	12.21
1995.999803	12.01
1996.026895	11.39
1996.053987	10.93
1996.081079	11.2
1996.108171	11.29
1996.135263	11.84
1996.162355	12.22
1996.189447	12.3
1996.216539	12.2
1996.243631	12.1
